Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:27:23 AM,112640768,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633341136310437,5.6320384E7,138.59292911256333,5.6320482E7,5.6320286E7,1.12640768E8,5.6320384E7,138.59292911256333,5.6320482E7,5.6320286E7,0,0,0,0,0,0,0,0,0,0,0,0.026633341136310437,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.59392077993824E14,1.0739424962086408E15,1.518784099667362E15,5.6320286E7,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:30:12 AM,112641773,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633103511252438,5.63208865E7,263.75082938258225,5.6321073E7,5.63207E7,1.12641773E8,5.63208865E7,263.75082938258225,5.6321073E7,5.63207E7,0,0,0,0,0,0,0,0,0,0,0,0.026633103511252438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5939216247496E14,1.0739426156824236E15,1.51878426862922E15,5.63207E7,No Label
172.31.69.25-131.202.242.193-22-35605-6,172.31.69.25,22,131.202.242.193,35605,6,16/02/2018 09:26:55 AM,20784143,23,44,2416.0,1344.0,240.0,64.0,105.04347826086956,54.54229239845949,64.0,0.0,30.545454545454536,32.33649716072836,180.90714637596557,3.2236113848908756,314911.2575757576,1145953.7581495005,9058214.0,66.0,2.0690654E7,940484.2727272727,1898330.2992014093,9144734.0,66.0,2.0741145E7,482352.2093023256,1396411.1135538807,9058214.0,41601.0,1,0,0,0,460,880,1.106612863470002,2.1169985214208737,0.0,240.0,56.235294117647065,53.851680678067055,2900.0035118525007,0,0,0,44,67,0,0,0,1.0,57.07462686567164,105.04347826086956,30.545454545454547,0,0,0,0,38,397,0,36,0,20,263,255,22,20,0,0,0,0,1.518784029523538E15,4879417.528399088,1.518784035965548E15,1.518784015223544E15,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:33:01 AM,112640836,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633325058063314,5.6320418E7,82.02438661763951,5.6320476E7,5.632036E7,1.12640836E8,5.6320418E7,82.02438661763951,5.6320476E7,5.632036E7,0,0,0,0,0,0,0,0,0,0,0,0.026633325058063314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.593922469555135E14,1.0739427351562849E15,1.518784437590551E15,5.6320476E7,No Label
177.21.224.131-172.31.69.25-3357-23-6,177.21.224.131,3357,172.31.69.25,23,6,16/02/2018 09:27:59 AM,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,58856,0,0,20,0,0,0,0,0,0,0,0,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:35:50 AM,112641178,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633244194232415,5.6320589E7,5.656854249492381,5.6320593E7,5.6320585E7,1.12641178E8,5.6320589E7,5.656854249492381,5.6320593E7,5.6320585E7,0,0,0,0,0,0,0,0,0,0,0,0.026633244194232415,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.593923314363755E14,1.0739428546301115E15,1.518784606552166E15,5.6320585E7,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:38:39 AM,112641264,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02663322386012998,5.6320632E7,7.0710678118654755,5.6320637E7,5.6320627E7,1.12641264E8,5.6320632E7,7.0710678118654755,5.6320637E7,5.6320627E7,0,0,0,0,0,0,0,0,0,0,0,0.02663322386012998,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.59392415917384E14,1.073942974104226E15,1.518784775514131E15,5.6320637E7,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:41:28 AM,112641525,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633162148683623,5.63207625E7,17.67766952966369,5.6320775E7,5.632075E7,1.12641525E8,5.63207625E7,17.67766952966369,5.6320775E7,5.632075E7,0,0,0,0,0,0,0,0,0,0,0,0.026633162148683623,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.59392500398432E14,1.07394309357831E15,1.518784944476114E15,5.632075E7,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:44:17 AM,112641414,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633188393746548,5.6320707E7,63.63961030678928,5.6320752E7,5.6320662E7,1.12641414E8,5.6320707E7,63.63961030678928,5.6320752E7,5.6320662E7,0,0,0,0,0,0,0,0,0,0,0,0.026633188393746548,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.593925848794465E14,1.0739432130526309E15,1.518785113438231E15,5.6320662E7,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/02/2018 09:47:06 AM,112641379,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.026633196669227567,5.63206895E7,30.405591591021544,5.6320711E7,5.6320668E7,1.12641379E8,5.63206895E7,30.405591591021544,5.6320711E7,5.6320668E7,0,0,0,0,0,0,0,0,0,0,0,0.026633196669227567,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5939266936049E14,1.07394333252686E15,1.518785282400312E15,5.6320668E7,No Label
